,D1,D2
30,"[0.486658835375063, 0.253025302530253, 0.7034914017717561, 0.5339859828679497, 0.27689209598925996]","[0.48614487117160904, 0.3655603655603656, 0.23739701159056, 0.3449675324675325, 0.3322259136212625]"
31,"[0.4508940139932625, 0.21799355102411555, 0.22984102662325223, 0.5492305051776418, 0.217843830178632]","[0.20321072952651903, 0.2757859900717044, 0.3112934362934363, 0.25019305019305016, 0.1904056698577247]"
32,"[0.44642857142857145, 0.41182170542635654, 0.5547337278106509, 0.23706896551724135, 0.49913194444444436]","[0.3400204012240734, 0.329590525668957, 0.37616529466281423, 0.4969957718270158, 0.5362828892240658]"
33,"[0.5322580645161291, 0.3577981651376147, 0.34883720930232565, 0.30927835051546393, 0.7846153846153846]","[0.8401478660244203, 0.6199948333763885, 1.127373417721519, 0.6329113924050633, 0.7911392405063292]"
34,"[0.4042775169535733, 0.36217303822937624, 0.21808268968650613, 0.1447038394752074, 0.19114688128772633]","[0.21633669857086668, 0.29301984860641156, 0.25955693176384875, 0.3948522959929804, 0.2008514078546796]"
35,"[0.3910849453322119, 0.4640095181439619, 0.38752443273561654, 0.3469301934398655, 0.32711621233859395]","[1.172093023255814, 0.6878980891719745, 0.7976470588235294, 0.5617021276595745, 0.8074766355140188]"
36,"[0.5421074426834319, 0.4883768584503995, 0.38792506272994565, 0.43701545602686287, 0.48028817290374226]",
37,"[0.23863500775563778, 0.1941699235767096, 0.4265305423275892, 0.15469163443924286, 0.14027868699148976]",
38,"[0.22715800100959113, 0.1146022347435775, 0.36656649384102236, 0.3015718289265261, 0.10192987224789345]",
39,"[0.24283873525621963, 0.22968893555584718, 0.22742040285899934, 0.21499828001375987, 0.17543859649122806]",
